Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2019,2019,Head,15158,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2020,2020,Head,12098,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5908,Export Quantity,2122,Sheep,2021,2021,Head,12916,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2006,2006,1000 US$,1963,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2007,2007,1000 US$,1262,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2008,2008,1000 US$,1133,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2009,2009,1000 US$,1242,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2010,2010,1000 US$,1418,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2011,2011,1000 US$,1748,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2012,2012,1000 US$,1911,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2013,2013,1000 US$,1406,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2014,2014,1000 US$,1582,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2015,2015,1000 US$,1251,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2016,2016,1000 US$,1120,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2017,2017,1000 US$,1730,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2018,2018,1000 US$,1781,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2019,2019,1000 US$,1436,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2020,2020,1000 US$,1217,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5922,Export Value,2122,Sheep,2021,2021,1000 US$,1875,A,Official figure,AT
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2006,2006,Head,170459,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2007,2007,Head,159521,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2008,2008,Head,149391,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2009,2009,Head,230042,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5908,Export Quantity,2111,Cattle,2010,2010,Head,218653,A,Official figure,BE
