Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Country Code
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2010,2010,1000 US$,414,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2011,2011,1000 US$,162,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2012,2012,1000 US$,31,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2013,2013,1000 US$,174,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2014,2014,1000 US$,17,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2015,2015,1000 US$,70,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2016,2016,1000 US$,10,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2017,2017,1000 US$,20,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2018,2018,1000 US$,20,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2019,2019,1000 US$,224,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2020,2020,1000 US$,197,A,Official figure,AT
TCL,Crops and livestock products,40,Austria,5622,Import Value,2122,Sheep,2021,2021,1000 US$,1348,A,Official figure,AT
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2006,2006,Head,118056,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2007,2007,Head,109569,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2008,2008,Head,116418,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2009,2009,Head,188142,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2010,2010,Head,194115,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2011,2011,Head,168390,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2012,2012,Head,148845,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2013,2013,Head,190465,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2014,2014,Head,208107,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2015,2015,Head,218572,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2016,2016,Head,228602,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2017,2017,Head,326769,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2018,2018,Head,386407,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2019,2019,Head,318980,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2020,2020,Head,253365,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5608,Import Quantity,2111,Cattle,2021,2021,Head,282268,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2006,2006,1000 US$,82344,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2007,2007,1000 US$,84408,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2008,2008,1000 US$,104863,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2009,2009,1000 US$,152919,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2010,2010,1000 US$,151146,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2011,2011,1000 US$,144803,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2012,2012,1000 US$,127055,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2013,2013,1000 US$,178017,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2014,2014,1000 US$,185304,A,Official figure,BE
TCL,Crops and livestock products,56,Belgium,5622,Import Value,2111,Cattle,2015,2015,1000 US$,161418,A,Official figure,BE
