,Domain,Area,Element,Item,Year,Unit,Value,Flag Description,Country Code
252,Crops and livestock products,Croatia,Import Value,Sheep,2018,1000 US$,7182,Official figure,HR
253,Crops and livestock products,Croatia,Import Value,Sheep,2019,1000 US$,6399,Official figure,HR
254,Crops and livestock products,Croatia,Import Value,Sheep,2020,1000 US$,4764,Official figure,HR
255,Crops and livestock products,Croatia,Import Value,Sheep,2021,1000 US$,5162,Official figure,HR
358,Crops and livestock products,Denmark,Import Quantity,Cattle,2006,Head,230,Official figure,DK
359,Crops and livestock products,Denmark,Import Quantity,Cattle,2007,Head,14,Official figure,DK
360,Crops and livestock products,Denmark,Import Quantity,Cattle,2008,Head,1,Unofficial figure,DK
361,Crops and livestock products,Denmark,Import Quantity,Cattle,2009,Head,182,Unofficial figure,DK
362,Crops and livestock products,Denmark,Import Quantity,Cattle,2010,Head,0,Unofficial figure,DK
363,Crops and livestock products,Denmark,Import Quantity,Cattle,2011,Head,0,Estimated value,DK
364,Crops and livestock products,Denmark,Import Quantity,Cattle,2012,Head,0,Estimated value,DK
365,Crops and livestock products,Denmark,Import Quantity,Cattle,2013,Head,6,Official figure,DK
366,Crops and livestock products,Denmark,Import Quantity,Cattle,2014,Head,28,Official figure,DK
367,Crops and livestock products,Denmark,Import Quantity,Cattle,2015,Head,5802,Official figure,DK
368,Crops and livestock products,Denmark,Import Quantity,Cattle,2016,Head,161,Official figure,DK
369,Crops and livestock products,Denmark,Import Quantity,Cattle,2017,Head,284,Official figure,DK
370,Crops and livestock products,Denmark,Import Quantity,Cattle,2018,Head,4485,Official figure,DK
371,Crops and livestock products,Denmark,Import Quantity,Cattle,2019,Head,448,Official figure,DK
372,Crops and livestock products,Denmark,Import Quantity,Cattle,2020,Head,1051,Official figure,DK
373,Crops and livestock products,Denmark,Import Quantity,Cattle,2021,Head,8,Official figure,DK
374,Crops and livestock products,Denmark,Import Value,Cattle,2006,1000 US$,210,Official figure,DK
375,Crops and livestock products,Denmark,Import Value,Cattle,2007,1000 US$,28,Unofficial figure,DK
376,Crops and livestock products,Denmark,Import Value,Cattle,2008,1000 US$,0,Official figure,DK
377,Crops and livestock products,Denmark,Import Value,Cattle,2009,1000 US$,606,Official figure,DK
378,Crops and livestock products,Denmark,Import Value,Cattle,2010,1000 US$,0,Unofficial figure,DK
379,Crops and livestock products,Denmark,Import Value,Cattle,2011,1000 US$,0,Estimated value,DK
380,Crops and livestock products,Denmark,Import Value,Cattle,2012,1000 US$,0,Estimated value,DK
381,Crops and livestock products,Denmark,Import Value,Cattle,2013,1000 US$,34,Official figure,DK
382,Crops and livestock products,Denmark,Import Value,Cattle,2014,1000 US$,39,Official figure,DK
383,Crops and livestock products,Denmark,Import Value,Cattle,2015,1000 US$,206,Official figure,DK
384,Crops and livestock products,Denmark,Import Value,Cattle,2016,1000 US$,266,Official figure,DK
385,Crops and livestock products,Denmark,Import Value,Cattle,2017,1000 US$,277,Official figure,DK
386,Crops and livestock products,Denmark,Import Value,Cattle,2018,1000 US$,3264,Official figure,DK
387,Crops and livestock products,Denmark,Import Value,Cattle,2019,1000 US$,21,Official figure,DK
388,Crops and livestock products,Denmark,Import Value,Cattle,2020,1000 US$,24,Official figure,DK
389,Crops and livestock products,Denmark,Import Value,Cattle,2021,1000 US$,5,Official figure,DK
390,Crops and livestock products,Denmark,Import Quantity,Sheep,2006,Head,0,Estimated value,DK
391,Crops and livestock products,Denmark,Import Quantity,Sheep,2007,Head,205,Official figure,DK
392,Crops and livestock products,Denmark,Import Quantity,Sheep,2008,Head,0,Unofficial figure,DK
393,Crops and livestock products,Denmark,Import Quantity,Sheep,2009,Head,162,Official figure,DK
394,Crops and livestock products,Denmark,Import Quantity,Sheep,2010,Head,0,Unofficial figure,DK
395,Crops and livestock products,Denmark,Import Quantity,Sheep,2011,Head,3929,Official figure,DK
396,Crops and livestock products,Denmark,Import Quantity,Sheep,2012,Head,2645,Official figure,DK
397,Crops and livestock products,Denmark,Import Quantity,Sheep,2013,Head,0,Unofficial figure,DK
398,Crops and livestock products,Denmark,Import Quantity,Sheep,2016,Head,7,Official figure,DK
399,Crops and livestock products,Denmark,Import Quantity,Sheep,2018,Head,34,Official figure,DK
400,Crops and livestock products,Denmark,Import Value,Sheep,2006,1000 US$,0,Estimated value,DK
401,Crops and livestock products,Denmark,Import Value,Sheep,2007,1000 US$,84,Official figure,DK
402,Crops and livestock products,Denmark,Import Value,Sheep,2008,1000 US$,0,Unofficial figure,DK
403,Crops and livestock products,Denmark,Import Value,Sheep,2009,1000 US$,32,Official figure,DK
404,Crops and livestock products,Denmark,Import Value,Sheep,2010,1000 US$,0,Unofficial figure,DK
405,Crops and livestock products,Denmark,Import Value,Sheep,2011,1000 US$,600,Official figure,DK
406,Crops and livestock products,Denmark,Import Value,Sheep,2012,1000 US$,307,Official figure,DK
407,Crops and livestock products,Denmark,Import Value,Sheep,2013,1000 US$,0,Unofficial figure,DK
408,Crops and livestock products,Denmark,Import Value,Sheep,2016,1000 US$,1,Official figure,DK
409,Crops and livestock products,Denmark,Import Value,Sheep,2018,1000 US$,7,Official figure,DK
458,Crops and livestock products,Finland,Import Quantity,Cattle,2006,Head,265,Official figure,FI
459,Crops and livestock products,Finland,Import Quantity,Cattle,2007,Head,127,Official figure,FI
460,Crops and livestock products,Finland,Import Quantity,Cattle,2008,Head,0,Unofficial figure,FI
461,Crops and livestock products,Finland,Import Quantity,Cattle,2009,Head,0,Estimated value,FI
462,Crops and livestock products,Finland,Import Quantity,Cattle,2010,Head,0,Estimated value,FI
463,Crops and livestock products,Finland,Import Quantity,Cattle,2011,Head,0,Estimated value,FI
464,Crops and livestock products,Finland,Import Quantity,Cattle,2012,Head,3,Official figure,FI
465,Crops and livestock products,Finland,Import Quantity,Cattle,2013,Head,0,Unofficial figure,FI
466,Crops and livestock products,Finland,Import Quantity,Cattle,2021,Head,5,Official figure,FI
467,Crops and livestock products,Finland,Import Value,Cattle,2006,1000 US$,603,Official figure,FI
468,Crops and livestock products,Finland,Import Value,Cattle,2007,1000 US$,397,Official figure,FI
469,Crops and livestock products,Finland,Import Value,Cattle,2008,1000 US$,0,Unofficial figure,FI
470,Crops and livestock products,Finland,Import Value,Cattle,2009,1000 US$,0,Estimated value,FI
471,Crops and livestock products,Finland,Import Value,Cattle,2010,1000 US$,0,Estimated value,FI
472,Crops and livestock products,Finland,Import Value,Cattle,2011,1000 US$,0,Estimated value,FI
473,Crops and livestock products,Finland,Import Value,Cattle,2012,1000 US$,6,Official figure,FI
474,Crops and livestock products,Finland,Import Value,Cattle,2013,1000 US$,0,Unofficial figure,FI
475,Crops and livestock products,Finland,Import Value,Cattle,2021,1000 US$,34,Official figure,FI
476,Crops and livestock products,Finland,Import Quantity,Sheep,2006,Head,0,Estimated value,FI
477,Crops and livestock products,Finland,Import Quantity,Sheep,2007,Head,1,Official figure,FI
478,Crops and livestock products,Finland,Import Quantity,Sheep,2008,Head,22,Official figure,FI
479,Crops and livestock products,Finland,Import Quantity,Sheep,2009,Head,0,Unofficial figure,FI
480,Crops and livestock products,Finland,Import Quantity,Sheep,2010,Head,0,Estimated value,FI
481,Crops and livestock products,Finland,Import Quantity,Sheep,2011,Head,0,Estimated value,FI
482,Crops and livestock products,Finland,Import Quantity,Sheep,2012,Head,12,Official figure,FI
483,Crops and livestock products,Finland,Import Quantity,Sheep,2013,Head,4,Official figure,FI
484,Crops and livestock products,Finland,Import Quantity,Sheep,2014,Head,30,Official figure,FI
485,Crops and livestock products,Finland,Import Quantity,Sheep,2016,Head,5,Official figure,FI
486,Crops and livestock products,Finland,Import Quantity,Sheep,2019,Head,8,Official figure,FI
487,Crops and livestock products,Finland,Import Value,Sheep,2006,1000 US$,0,Estimated value,FI
488,Crops and livestock products,Finland,Import Value,Sheep,2007,1000 US$,3,Official figure,FI
489,Crops and livestock products,Finland,Import Value,Sheep,2008,1000 US$,7,Official figure,FI
490,Crops and livestock products,Finland,Import Value,Sheep,2009,1000 US$,0,Unofficial figure,FI
491,Crops and livestock products,Finland,Import Value,Sheep,2010,1000 US$,0,Estimated value,FI
492,Crops and livestock products,Finland,Import Value,Sheep,2011,1000 US$,0,Estimated value,FI
493,Crops and livestock products,Finland,Import Value,Sheep,2012,1000 US$,3,Official figure,FI
494,Crops and livestock products,Finland,Import Value,Sheep,2013,1000 US$,8,Official figure,FI
495,Crops and livestock products,Finland,Import Value,Sheep,2014,1000 US$,30,Official figure,FI
496,Crops and livestock products,Finland,Import Value,Sheep,2016,1000 US$,3,Official figure,FI
497,Crops and livestock products,Finland,Import Value,Sheep,2019,1000 US$,14,Official figure,FI
754,Crops and livestock products,Ireland,Import Quantity,Cattle,2006,Head,372,Official figure,IE
755,Crops and livestock products,Ireland,Import Quantity,Cattle,2007,Head,767,Official figure,IE
756,Crops and livestock products,Ireland,Import Quantity,Cattle,2008,Head,90,Official figure,IE
757,Crops and livestock products,Ireland,Import Quantity,Cattle,2009,Head,38,Unofficial figure,IE
758,Crops and livestock products,Ireland,Import Quantity,Cattle,2010,Head,98,Official figure,IE
759,Crops and livestock products,Ireland,Import Quantity,Cattle,2011,Head,1017,Unofficial figure,IE
760,Crops and livestock products,Ireland,Import Quantity,Cattle,2012,Head,4055,Unofficial figure,IE
761,Crops and livestock products,Ireland,Import Quantity,Cattle,2013,Head,2791,Official figure,IE
762,Crops and livestock products,Ireland,Import Quantity,Cattle,2014,Head,2174,Official figure,IE
763,Crops and livestock products,Ireland,Import Quantity,Cattle,2015,Head,8338,Official figure,IE
764,Crops and livestock products,Ireland,Import Quantity,Cattle,2016,Head,6494,Official figure,IE
765,Crops and livestock products,Ireland,Import Quantity,Cattle,2017,Head,5862,Official figure,IE
766,Crops and livestock products,Ireland,Import Quantity,Cattle,2018,Head,7811,Official figure,IE
767,Crops and livestock products,Ireland,Import Quantity,Cattle,2019,Head,16376,Imputed value,IE
768,Crops and livestock products,Ireland,Import Quantity,Cattle,2020,Head,13907,Official figure,IE
769,Crops and livestock products,Ireland,Import Quantity,Cattle,2021,Head,23056,Official figure,IE
770,Crops and livestock products,Ireland,Import Value,Cattle,2006,1000 US$,582,Official figure,IE
771,Crops and livestock products,Ireland,Import Value,Cattle,2007,1000 US$,1409,Official figure,IE
772,Crops and livestock products,Ireland,Import Value,Cattle,2008,1000 US$,321,Official figure,IE
773,Crops and livestock products,Ireland,Import Value,Cattle,2009,1000 US$,226,Official figure,IE
774,Crops and livestock products,Ireland,Import Value,Cattle,2010,1000 US$,442,Official figure,IE
775,Crops and livestock products,Ireland,Import Value,Cattle,2011,1000 US$,1259,Official figure,IE
776,Crops and livestock products,Ireland,Import Value,Cattle,2012,1000 US$,5183,Official figure,IE
777,Crops and livestock products,Ireland,Import Value,Cattle,2013,1000 US$,2721,Official figure,IE
778,Crops and livestock products,Ireland,Import Value,Cattle,2014,1000 US$,226,Official figure,IE
779,Crops and livestock products,Ireland,Import Value,Cattle,2015,1000 US$,1021,Official figure,IE
780,Crops and livestock products,Ireland,Import Value,Cattle,2016,1000 US$,787,Official figure,IE
781,Crops and livestock products,Ireland,Import Value,Cattle,2017,1000 US$,927,Official figure,IE
782,Crops and livestock products,Ireland,Import Value,Cattle,2018,1000 US$,1750,Official figure,IE
783,Crops and livestock products,Ireland,Import Value,Cattle,2019,1000 US$,4073,Official figure,IE
784,Crops and livestock products,Ireland,Import Value,Cattle,2020,1000 US$,11952,Official figure,IE
785,Crops and livestock products,Ireland,Import Value,Cattle,2021,1000 US$,5883,Official figure,IE
786,Crops and livestock products,Ireland,Import Quantity,Sheep,2006,Head,16212,Official figure,IE
787,Crops and livestock products,Ireland,Import Quantity,Sheep,2007,Head,23707,Official figure,IE
788,Crops and livestock products,Ireland,Import Quantity,Sheep,2008,Head,43554,Official figure,IE
789,Crops and livestock products,Ireland,Import Quantity,Sheep,2009,Head,28964,Official figure,IE
790,Crops and livestock products,Ireland,Import Quantity,Sheep,2010,Head,31006,Official figure,IE
791,Crops and livestock products,Ireland,Import Quantity,Sheep,2011,Head,18372,Official figure,IE
792,Crops and livestock products,Ireland,Import Quantity,Sheep,2012,Head,222913,Official figure,IE
793,Crops and livestock products,Ireland,Import Quantity,Sheep,2013,Head,71284,Official figure,IE
794,Crops and livestock products,Ireland,Import Quantity,Sheep,2014,Head,18758,Official figure,IE
795,Crops and livestock products,Ireland,Import Quantity,Sheep,2015,Head,12157,Official figure,IE
796,Crops and livestock products,Ireland,Import Quantity,Sheep,2016,Head,19543,Official figure,IE
797,Crops and livestock products,Ireland,Import Quantity,Sheep,2017,Head,17889,Official figure,IE
798,Crops and livestock products,Ireland,Import Quantity,Sheep,2018,Head,19232,Official figure,IE
799,Crops and livestock products,Ireland,Import Quantity,Sheep,2019,Head,16831,Official figure,IE
800,Crops and livestock products,Ireland,Import Quantity,Sheep,2020,Head,363075,Official figure,IE
801,Crops and livestock products,Ireland,Import Quantity,Sheep,2021,Head,317112,Official figure,IE
802,Crops and livestock products,Ireland,Import Value,Sheep,2006,1000 US$,2943,Official figure,IE
803,Crops and livestock products,Ireland,Import Value,Sheep,2007,1000 US$,2496,Official figure,IE
