DATAFLOW,LAST UPDATE,freq,crops,animal,farmtype,so_eur,unit,agrarea,country,geo,TIME_PERIOD,OBS_VALUE
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Croatia,HR,2020,91880
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Hungary,HU,2020,89230
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Ireland,IE,2020,755700
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Italy,IT,2020,1203730
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Lithuania,LT,2020,14310
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Luxembourg,LU,2020,2740
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Latvia,LV,2020,29710
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Malta,MT,2020,840
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Netherlands,NL,2020,59410
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Poland,PL,2020,55880
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Portugal,PT,2020,514970
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Romania,RO,2020,907880
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Sweden,SE,2020,117290
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Slovenia,SI,2020,20040
ESTAT:EF_LUS_MAIN(1.0),06/12/2022 11:00,A,UAA,Sheep,FT48_SO,TOTAL,HA,TOTAL,Slovakia,SK,2020,79420
